,Isia_A_CLA_501,Isia_A_CLA_502,Isia_A_CLA_503,Isia_A_CLA_504,Isia_A_CLA_505,Isia_A_CLA_506,Isia_A_CLA_507,Isia_A_CLA_508,Isia_A_CLA_509,Isia_A_CLA_510,Isia_A_CLA_511,Isia_A_CLA_512,Isia_A_CLA_513,Isia_A_CLA_516,Isia_A_CLA_517,Isia_A_CLA_518,Isia_A_CLA_519
Isia_A_CLA_501,14873.306352125326,-7.733028570199784,3.985908507858024,-0.8708067988788006,-0.9518973469933479,9.955456757653868,8.62089839666936,0.9438543679954841,-6.194051481217901,3.057463070370489,-1.388568219207655,0.30785922879301364,0.7103468991178424,2.6006460963169404,-14.966912872381691,-1.4071951223933201,3.466803111694251
Isia_A_CLA_502,-7.73302857019962,14827.826522796267,-17.640253618155317,39.597225382970734,0.11926617619374336,-6.721041570786054,-4.217774085073394,0.941888824234055,16.599746039992716,-13.145443726449736,7.903818788652403,-3.7210524801232667,-0.9483111981695713,-2.444578437059909,0.585217625496151,2.7421717458559187,-5.052547343509067
Isia_A_CLA_503,3.985908507857837,-17.64025361815516,14836.984251777803,-14.946801887122728,-2.1339701711076224,-1.004062458571481,-3.6806700242374624,-2.739791568472137,-3.9035507364077953,-8.265110137870675,-3.7946343426549483,10.55772636734708,2.028801481269742,-0.34061738627463084,-2.525689088203615,-1.9180974068902665,-1.5238800122080067
Isia_A_CLA_504,-0.870806798878804,39.597225382970656,-14.946801887122616,15009.243121712925,2.0140867440133334,2.995747749954097,0.7535023625914987,4.226897934016533,-1.664320226546551,15.89323253090613,2.0324911976741538,-2.3862132537592395,2.374974262512924,0.5135714574875312,1.2035961995004736,2.5181031383689567,5.071676065501648
Isia_A_CLA_505,-0.9518973469933292,0.1192661761937374,-2.1339701711076713,2.0140867440132677,14883.032840238302,-4.968095506266884,-43.84729420777538,-6.655869078420503,10.97146053989327,0.2505153744722502,0.22905946061100402,0.17562620098337564,-2.0644331376577503,-0.9205950698598172,1.768192947068816,-18.468570418582605,17.205869538273685
Isia_A_CLA_506,9.955456757653883,-6.721041570785957,-1.0040624585713847,2.9957477499540834,-4.968095506266907,14989.865139045387,15.077704456524433,7.890325892817578,-19.31957194189867,8.477785286200888,3.035182721420031,-6.896562342627405,5.8116621373235775,-4.96800859326835,5.0262530297409445,-0.6967712538158011,2.4361341295157604
Isia_A_CLA_507,8.620898396669281,-4.217774085073317,-3.6806700242374446,0.7535023625915452,-43.847294207775306,15.077704456524556,14844.654048257864,-9.732183964471806,46.828300815918496,-1.9296941927550975,-4.781791524522009,19.82371860405191,-16.46347197265889,4.603251964060994,18.63664931427756,-4.489952598163998,3.8448415946081074
Isia_A_CLA_508,0.943854367995507,0.9418888242339178,-2.7397915684720506,4.226897934016537,-6.6558690784204915,7.89032589281764,-9.73218396447188,14840.596807513786,5.418944573325841,44.669835679613556,22.360506581666254,-16.430629272424376,7.399994073695915,-1.2454169035619223,0.5638343931125696,5.030951233186665,3.8897120129606684
Isia_A_CLA_509,-6.194051481217897,16.599746039992652,-3.903550736407785,-1.664320226546584,10.971460539893247,-19.319571941898516,46.82830081591837,5.418944573325886,14858.991587850524,-43.19819631393464,71.73338615738594,7.348284202268693,-5.486324941921914,-2.568534386707541,-3.101215577588675,4.319902000779389,-2.77326917410248
Isia_A_CLA_510,3.0574630703705408,-13.145443726449551,-8.265110137870614,15.893232530906088,0.2505153744722743,8.477785286200875,-1.9296941927551654,44.669835679613406,-43.1981963139347,14934.848411599094,-50.739732455959924,-6.7265382359613435,4.795839823470095,1.6438878408237627,2.402581889528668,-1.3503806923294692,5.461722672914219
Isia_A_CLA_511,-1.3885682192076587,7.903818788652406,-3.794634342655013,2.0324911976741324,0.22905946061092866,3.035182721420029,-4.7817915245220295,22.36050658166616,71.73338615738612,-50.73973245595993,14810.466964859017,-14.490819843025685,7.416717132811486,-1.4707628546061693,-0.12484654713283544,1.7192378172452532,1.4306517270764438
Isia_A_CLA_512,0.3078592287929337,-3.721052480123277,10.557726367347007,-2.3862132537592884,0.1756262009834221,-6.896562342627479,19.823718604051926,-16.43062927242441,7.348284202268683,-6.726538235961281,-14.490819843025829,14822.450742195646,-27.21029080440393,-46.84414268802865,-2.7497908436884946,0.4749306874777692,-0.9447065054208975
Isia_A_CLA_513,0.7103468991178175,-0.9483111981695302,2.028801481269673,2.3749742625129846,-2.0644331376577285,5.8116621373235535,-16.463471972658834,7.399994073695945,-5.486324941922006,4.795839823470121,7.416717132811571,-27.210290804404057,15024.167709578314,-8.369696675075836,0.4523054585002877,-0.8098474176508726,1.2229934386741121
Isia_A_CLA_516,2.60064609631698,-2.444578437059918,-0.34061738627461385,0.51357145748757,-0.9205950698597444,-4.968008593268293,4.6032519640611085,-1.2454169035618854,-2.568534386707471,1.6438878408237292,-1.4707628546061386,-46.844142688028654,-8.369696675075774,14974.162751132077,-2.1779231896354787,-0.13384709546942883,0.467635989357102
Isia_A_CLA_517,-14.966912872381657,0.5852176254960632,-2.5256890882036167,1.203596199500514,1.7681929470689508,5.02625302974105,18.636649314277452,0.5638343931126449,-3.1012155775887242,2.4025818895286406,-0.12484654713280938,-2.749790843688522,0.4523054585002565,-2.177923189635495,15005.953632669376,-2.959238872609305,6.292423556587509
Isia_A_CLA_518,-1.4071951223933032,2.742171745855976,-1.918097406890206,2.518103138368954,-18.468570418582633,-0.6967712538157501,-4.489952598163977,5.030951233186638,4.31990200077939,-1.3503806923294126,1.7192378172452378,0.4749306874777635,-0.8098474176508511,-0.13384709546940304,-2.9592388726092547,14866.551059784835,-6.6763673184567445
Isia_A_CLA_519,3.4668031116943268,-5.052547343509056,-1.5238800122079517,5.071676065501619,17.20586953827374,2.436134129515779,3.844841594608159,3.889712012960673,-2.7732691741025186,5.461722672914171,1.430651727076403,-0.9447065054208986,1.2229934386741643,0.4676359893570786,6.292423556587477,-6.676367318456683,14926.66864100997
